X,Y,ID,CVE_ENT,CVE_MUN,CVE_LOC,NOMVIAL,TIPOVIAL,SENTIDO,NOMVIAL_2,TIPOVIAL_2,SENTIDO_2,freq,RANGO,ETIQUETA
-101.193303271835,19.7056104943601,13002.000000000000000,"16","053","0001",Ignacio Zaragoza,Calle,Un sentido,Eduardo Ruíz,Calle,Un sentido,"1",1.000000000000000,Muy bajo (1-2)
-101.193332302145,19.7047661335671,13003.000000000000000,"16","053","0001",Ignacio Zaragoza,Calle,Un sentido,Santiago Tapia,Calle,Un sentido,"1",1.000000000000000,Muy bajo (1-2)
-101.19096159167,19.7069281841183,13005.000000000000000,"16","053","0001",Mártires de Tacubaya,Calle,Un sentido,Morelos Norte,Avenida,Un sentido,"3",2.000000000000000,Bajo (3-5)
-101.191938503966,19.6924086484278,13006.000000000000000,"16","053","0001",Morelos Sur,Avenida,Un sentido,Lago de Pátzcuaro,Calle,Un sentido,"10",4.000000000000000,Medio (6-10)
-101.191981116187,19.6902735009915,13008.000000000000000,"16","053","0001",Morelos Sur,Avenida,Un sentido,Rey Tariácuri,Calle,Dos sentidos,"5",2.000000000000000,Bajo (3-5)
-101.190422977317,19.6823195808602,13010.000000000000000,"16","053","0001",Jacarandas,Calle,Dos sentidos,Periférico Paseo de la República (Sector Nueva España) (Avenida Camelinas),Circuito,Un sentido,"13",6.000000000000000,Alto (11-20)
-101.189103866647,19.6795314413983,13011.000000000000000,"16","053","0001",Jacarandas,Calle,Dos sentidos,Jacarandas,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.157823252467,19.6914584443014,13013.000000000000000,"16","053","0001",Canadá,Calle,Dos sentidos,Venezuela,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.199862437225,19.6698717310655,13017.000000000000000,"16","053","0001",La Joya (Gobernador Licenciado José Trinidad Guido),Avenida,Dos sentidos,La Joya (Gobernador Licenciado José Trinidad Guido),Avenida,Dos sentidos,"2",1.000000000000000,Muy bajo (1-2)
-101.188351298017,19.669527714914,13027.000000000000000,"16","053","0001",Josefa Murillo,Calle,Dos sentidos,Laura Méndez de Cuenca,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.187099725817,19.683094293203,13029.000000000000000,"16","053","0001",Janitzio,Calle,Dos sentidos,Naranxan,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.18498939287,19.6836822020055,13030.000000000000000,"16","053","0001",Segunda Privada de Naranxan,Calle,Dos sentidos,Rey Caltzontzin,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.188610635414,19.7133037393617,13032.000000000000000,"16","053","0001",Morelos Norte,Avenida,Dos sentidos,Maestro Juan Delgado,Calle,Dos sentidos,"5",2.000000000000000,Bajo (3-5)
-101.188730794725,19.7137224587913,13033.000000000000000,"16","053","0001",Morelos Norte,Avenida,Dos sentidos,Licenciado Salvador Pineda,Calle,Dos sentidos,"2",1.000000000000000,Muy bajo (1-2)
-101.188704925091,19.7181085686683,13034.000000000000000,"16","053","0001",Morelos Norte,Avenida,Dos sentidos,Juan N. Martínez,Calle,Dos sentidos,"6",4.000000000000000,Medio (6-10)
-101.1886845647,19.7185876494234,13035.000000000000000,"16","053","0001",Morelos Norte,Avenida,Dos sentidos,Sierra de Tingambato,Calle,Dos sentidos,"5",2.000000000000000,Bajo (3-5)
-101.196969828385,19.6647207670766,13045.000000000000000,"16","053","0001",Malaquita,Calle,Dos sentidos,Malaquita,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.198071221367,19.665448654779,13046.000000000000000,"16","053","0001",Alejandrina,Calle,Dos sentidos,La Joya (Gobernador Licenciado José Trinidad Guido),Avenida,Dos sentidos,"3",2.000000000000000,Bajo (3-5)
-101.201028820147,19.6702130501799,13048.000000000000000,"16","053","0001",La Joya (Gobernador Licenciado José Trinidad Guido),Avenida,Dos sentidos,Hurendacua (Margarita Maza de Juárez),Prolongación,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.200868296737,19.6701740712874,13049.000000000000000,"16","053","0001",La Joya (Gobernador Licenciado José Trinidad Guido),Avenida,Dos sentidos,Angola,Calle,Dos sentidos,"4",2.000000000000000,Bajo (3-5)
-101.200692977177,19.6701204405837,13050.000000000000000,"16","053","0001",La Joya (Gobernador Licenciado José Trinidad Guido),Avenida,Dos sentidos,Arrayán,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.201114310406,19.6687934899967,13051.000000000000000,"16","053","0001",Hurendacua (Margarita Maza de Juárez),Prolongación,Dos sentidos,Caoba,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.185526947948,19.6837615828977,13052.000000000000000,"16","053","0001",Rey Caltzontzin,Calle,Dos sentidos,Rey Caltzontzin,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.137746309536,19.7315955103717,13055.000000000000000,"16","053","0001",Norte 4,Calle,Dos sentidos,Norte 4,Calle,Dos sentidos,"2",1.000000000000000,Muy bajo (1-2)
-101.137943969916,19.7305914300034,13056.000000000000000,"16","053","0001",Norte 4,Calle,Dos sentidos,Oriente 4,Calle,Dos sentidos,"3",2.000000000000000,Bajo (3-5)
-101.194038663102,19.7090475255911,13059.000000000000000,"16","053","0001",Uranio,Calle,Dos sentidos,Guillermo Prieto,Calle,Dos sentidos,"2",1.000000000000000,Muy bajo (1-2)
